ID Dish; Restaurant; Category (resto); Dishes; Description; Price; Our Category; Фото блюда; Группа; Тег;
1839;Andiamo;;Тест;;0;прочее;;;;
1840;Andiamo;;Тест;;0;прочее;;;;
1853;Il патио;;Салат с руколой;;0;прочее;;;;
1854;Шоколадница;;Профитроли;;0;прочее;;;;
1855;Il патио;;Спагетти с овощами;;0;прочее;;;;
1856;Il патио;;Салат Цезарь без курицы;;0;прочее;;;;
1858;Il патио;;Феттучини с грибами и ветчиной;;0;прочее;;;;
1859;Correa’s;;Свежевыжатый апельсиновый сок;;0;прочее;;;;
1860;Mi piace;;Салат с авокадо;;0;прочее;;;;
1861;Тануки;;Ролл с авокадо;;0;прочее;;;;
1862;Mi piace;;Дынный лимонад;;0;прочее;;;;
1863;Bocconcino;;Ягодный пирог;;0;прочее;;;;
1864;Starbucks;;Чай ванильный ройбуш;;0;прочее;;;;
1866;Bocconcino;;Вегетарианская пицца;;0;прочее;;;;
1867;Хлеб насущный;;Тартина с пармской ветчиной;;0;прочее;;;;
1868;Starbucks;;Клюквенный белый мокка;;0;прочее;;;;
1869;Starbucks;;Морковный торт;;0;прочее;;;;
1870;Starbucks;;Печенье Елка со специями;;0;прочее;;;;
1871;Starbucks;;Орехово-ирисный латтэ;;0;прочее;;;;
1872;Starbucks;;Имбирно-пряничный латтэ;;0;прочее;;;;
1873;Starbucks;;Имбирно-ореховый латте;;0;прочее;;;;
1874;I love cake;;Имбирный торт;;0;прочее;;;;
1875;Starbucks;;Christmas BLEND Coffee;;0;прочее;;;;
1876;Starbucks;;Мокка фрапучино;;0;прочее;;;;
1877;Starbucks;;Кофе;;0;прочее;;;;
1878;Хинкали;;Хачапури по мегрельски;;0;прочее;;;;
1879;Хинкали;;Лагман;;0;прочее;;;;
1880;Хинкали;;Баклажан на гриле;;0;прочее;;;;
1882;Хинкали;;Шашлык из баранины (корейка);;0;прочее;;;;
1884;Хинкали;;Шашлык из свиных ребрышек;;0;прочее;;;;
1887;Il патио;;Пицца Ветчина и грибы;;0;прочее;;;;
1888;Хлеб насущный;;Салат средиземноморский;;0;прочее;;;;
1891;Costa coffee;;Черный чай;;0;прочее;;;;
1892;Мадам галифе;;Божоле нуво;;0;прочее;;;;
1893;Грабли;;Картошечка жареная;;0;прочее;;;;
1894;Грабли;;Баклажан;;0;прочее;;;;
1895;Дантес;;Компот;;0;прочее;;;;
1896;Андерсон;;Бельгийские вафли;;0;прочее;;;;
1897;Goodman;;Лосось барбекю;;0;прочее;;;;
1898;Goodman;;Гуляш говяжий;;0;прочее;;;;
1899;Goodman;;Курица по-бостонски;;0;прочее;;;;
1902;Ragout;;Террим из козьего сыра;;0;прочее;;;;
1904;Мама тао;;Яблоки в карамели;;0;прочее;;;;
1905;Pizza express;;Пицца 4 сезона;;0;прочее;;;;
1906;Pizza express;;Пицца Прошутто;;0;прочее;;;;
1907;Pizza express;;Пицца Маргарита;;0;прочее;;;;
1908;Pizza express;;Пицца Джаконда;;0;прочее;;;;
1911;Хачапури;;Хачапури по-аджарски;;0;прочее;;;;
1912;Хачапури;;Хачапури по мегрельски;;0;прочее;;;;
